SWMM5 Inflows Interface File
Inflows rate to nodes
60
1
FLOW CFS
1
J1
Node Year Mon Day Hr Min Sec Flow
J1 2020 06 01 00 00 00 0
J1 2020 06 01 00 01 00 0.119086
J1 2020 06 01 00 02 00 0.06484
J1 2020 06 01 00 03 00 0.03039
J1 2020 06 01 00 04 00 0.018442
J1 2020 06 01 00 05 00 0.012442
J1 2020 06 01 00 06 00 0.008956
J1 2020 06 01 00 07 00 0.006741
J1 2020 06 01 00 08 00 0.005246
J1 2020 06 01 00 09 00 0.004189
J1 2020 06 01 00 10 00 0.003415
J1 2020 06 01 00 11 00 0.002832
J1 2020 06 01 00 12 00 0.002382
J1 2020 06 01 00 13 00 0.002028
J1 2020 06 01 00 14 00 0.001745
J1 2020 06 01 00 15 00 0.001516
J1 2020 06 01 00 16 00 0.001327
J1 2020 06 01 00 17 00 0.00117
J1 2020 06 01 00 18 00 0.001038
J1 2020 06 01 00 19 00 0.000927
J1 2020 06 01 00 20 00 0.000831
J1 2020 06 01 00 21 00 0.00075
J1 2020 06 01 00 22 00 0.000679
J1 2020 06 01 00 23 00 0.000617
J1 2020 06 01 00 24 00 0.000563
J1 2020 06 01 00 25 00 0.000515
J1 2020 06 01 00 26 00 0.000473
J1 2020 06 01 00 27 00 0.000436
J1 2020 06 01 00 28 00 0.000403
J1 2020 06 01 00 29 00 0.000373
J1 2020 06 01 00 30 00 0.000346
J1 2020 06 01 00 31 00 0.000322
J1 2020 06 01 00 32 00 3e-04
J1 2020 06 01 00 33 00 0.00028
J1 2020 06 01 00 34 00 0.000262
J1 2020 06 01 00 35 00 0.000246
J1 2020 06 01 00 36 00 0.000231
J1 2020 06 01 00 37 00 0.000217
J1 2020 06 01 00 38 00 0.000205
J1 2020 06 01 00 39 00 0.000193
J1 2020 06 01 00 40 00 0.000182
J1 2020 06 01 00 41 00 0.000172
J1 2020 06 01 00 42 00 0.000163
J1 2020 06 01 00 43 00 0.000155
J1 2020 06 01 00 44 00 0.000147
J1 2020 06 01 00 45 00 0.00014
J1 2020 06 01 00 46 00 0.000133
J1 2020 06 01 00 47 00 0.000126
J1 2020 06 01 00 48 00 0.000121
J1 2020 06 01 00 49 00 0.000115
J1 2020 06 01 00 50 00 0.00011
J1 2020 06 01 00 51 00 0.000105
J1 2020 06 01 00 52 00 1e-04
J1 2020 06 01 00 53 00 9.6e-05
J1 2020 06 01 00 54 00 9.2e-05
J1 2020 06 01 00 55 00 8.8e-05
J1 2020 06 01 00 56 00 8.5e-05
J1 2020 06 01 00 57 00 8.1e-05
J1 2020 06 01 00 58 00 7.8e-05
J1 2020 06 01 00 59 00 7.5e-05
J1 2020 06 01 01 00 00 7.2e-05
J1 2020 06 01 01 01 00 6.9e-05
J1 2020 06 01 01 02 00 6.7e-05
J1 2020 06 01 01 03 00 6.4e-05
J1 2020 06 01 01 04 00 6.2e-05
J1 2020 06 01 01 05 00 6e-05
J1 2020 06 01 01 06 00 5.8e-05
J1 2020 06 01 01 07 00 5.6e-05
J1 2020 06 01 01 08 00 5.4e-05
J1 2020 06 01 01 09 00 5.2e-05
J1 2020 06 01 01 10 00 5e-05
J1 2020 06 01 01 11 00 4.9e-05
J1 2020 06 01 01 12 00 4.7e-05
J1 2020 06 01 01 13 00 4.6e-05
J1 2020 06 01 01 14 00 4.4e-05
J1 2020 06 01 01 15 00 4.3e-05
J1 2020 06 01 01 16 00 4.2e-05
J1 2020 06 01 01 17 00 4e-05
J1 2020 06 01 01 18 00 3.9e-05
J1 2020 06 01 01 19 00 3.8e-05
J1 2020 06 01 01 20 00 3.7e-05
J1 2020 06 01 01 21 00 3.6e-05
J1 2020 06 01 01 22 00 3.5e-05
J1 2020 06 01 01 23 00 3.4e-05
J1 2020 06 01 01 24 00 3.3e-05
